source_row_id,product_id,category,brand_label,unit_cost,list_price,status,updated_at
products-000100,PR-00100,electronics,Brand-10,106.00,148.40,active,2026-01-02T04:03:00Z
products-000101,PR-00101,apparel,Brand-11,148.00,207.20,active,2026-01-02T04:20:00Z
products-000102,PR-00102,home,Brand-12,194.00,271.60,active,2026-01-02T04:37:00Z
products-000103,PR-00103,home,Brand-13,9.00,12.60,active,2026-01-02T04:54:00Z
products-000104,PR-00104,apparel,Brand-14,101.00,141.40,active,2026-01-02T05:11:00Z
products-000105,PR-00105,apparel,Brand-15,164.00,229.60,active,2026-01-02T05:28:00Z
products-000106,PR-00106,electronics,Brand-01,30.00,42.00,active,2026-01-02T05:45:00Z
products-000107,PR-00107,home,Brand-02,191.00,267.40,active,2026-01-02T06:02:00Z
products-000108,PR-00108,electronics,Brand-03,125.00,175.00,active,2026-01-02T06:19:00Z
products-000109,PR-00109,apparel,Brand-04,122.00,170.80,active,2026-01-02T06:36:00Z
products-000110,PR-00110,grocery,Brand-05,69.00,96.60,active,2026-01-02T06:53:00Z
products-000111,PR-00111,apparel,Brand-06,194.00,271.60,active,2026-01-02T07:10:00Z
products-000112,PR-00112,home,Brand-07,43.00,60.20,active,2026-01-02T07:27:00Z
products-000113,PR-00113,home,Brand-08,25.00,35.00,active,2026-01-02T07:44:00Z
products-000114,PR-00114,grocery,Brand-09,73.00,102.20,active,2026-01-02T08:01:00Z
products-000115,PR-00115,grocery,Brand-10,116.00,162.40,active,2026-01-02T08:18:00Z
products-000116,PR-00116,apparel,Brand-11,60.00,84.00,active,2026-01-02T08:35:00Z
products-000117,PR-00117,home,Brand-12,183.00,256.20,active,2026-01-02T08:52:00Z
products-000118,PR-00118,grocery,Brand-13,45.00,63.00,active,2026-01-02T09:09:00Z
products-000119,PR-00119,apparel,Brand-14,178.00,249.20,active,2026-01-02T09:26:00Z
products-000120,PR-00120,electronics,Brand-15,67.00,93.80,active,2026-01-02T09:43:00Z
products-000121,PR-00121,apparel,Brand-01,36.00,50.40,active,2026-01-02T10:00:00Z
products-000122,PR-00122,apparel,Brand-02,91.00,127.40,active,2026-01-02T10:17:00Z
products-000123,PR-00123,grocery,Brand-03,113.00,158.20,active,2026-01-02T10:34:00Z
products-000124,PR-00124,electronics,Brand-04,59.00,82.60,active,2026-01-02T10:51:00Z
products-000125,PR-00125,grocery,Brand-05,83.00,116.20,active,2026-01-02T11:08:00Z
products-000126,PR-00126,apparel,Brand-06,19.00,26.60,active,2026-01-02T11:25:00Z
products-000127,PR-00127,electronics,Brand-07,138.00,193.20,active,2026-01-02T11:42:00Z
products-000128,PR-00128,electronics,Brand-08,131.00,183.40,active,2026-01-02T11:59:00Z
products-000129,PR-00129,home,Brand-09,103.00,144.20,active,2026-01-02T12:16:00Z
products-000130,PR-00130,electronics,Brand-10,136.00,190.40,active,2026-01-02T12:33:00Z
products-000131,PR-00131,home,Brand-11,113.00,158.20,active,2026-01-02T12:50:00Z
products-000132,PR-00132,apparel,Brand-12,98.00,137.20,active,2026-01-02T13:07:00Z
products-000133,PR-00133,home,Brand-13,105.00,147.00,active,2026-01-02T13:24:00Z
products-000134,PR-00134,apparel,Brand-14,32.00,44.80,active,2026-01-02T13:41:00Z
products-000135,PR-00135,grocery,Brand-15,149.00,208.60,active,2026-01-02T13:58:00Z
products-000136,PR-00136,apparel,Brand-01,32.00,44.80,active,2026-01-02T14:15:00Z
products-000137,PR-00137,grocery,Brand-02,67.00,93.80,active,2026-01-02T14:32:00Z
products-000138,PR-00138,home,Brand-03,89.00,124.60,active,2026-01-02T14:49:00Z
products-000139,PR-00139,grocery,Brand-04,129.00,180.60,active,2026-01-02T15:06:00Z
products-000140,PR-00140,apparel,Brand-05,69.00,96.60,active,2026-01-02T15:23:00Z
products-000141,PR-00141,grocery,Brand-06,121.00,169.40,active,2026-01-02T15:40:00Z
products-000142,PR-00142,apparel,Brand-07,129.00,180.60,active,2026-01-02T15:57:00Z
products-000143,PR-00143,electronics,Brand-08,7.00,9.80,active,2026-01-02T16:14:00Z
products-000144,PR-00144,electronics,Brand-09,134.00,187.60,active,2026-01-02T16:31:00Z
products-000145,PR-00145,electronics,Brand-10,42.00,58.80,active,2026-01-02T16:48:00Z
products-000146,PR-00146,home,Brand-11,161.00,225.40,active,2026-01-02T17:05:00Z
products-000147,PR-00147,home,Brand-12,163.00,228.20,active,2026-01-02T17:22:00Z
products-000148,PR-00148,electronics,Brand-13,-2.00,252.00,active,2026-01-02T17:39:00Z
products-000149,PR-00149,electronics,Brand-14,57.00,79.80,active,2026-01-02T17:56:00Z
products-000150,PR-00149,apparel,Brand-15,74.00,103.60,active,2026-01-02T18:13:00Z
